ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
khispi-1-1,,khispi,1,ga,ga,g a,,Bodt2019,,
duhumbi-1-1,,duhumbi,1,ga,ga,g a,,Bodt2019,,
khoina-1-1,,khoina,1,guː,guː,g uː,,Bodt2019,,
jerigaon-1-1,,jerigaon,1,guː,guː,g uː,,Bodt2019,,
khoitam-1-1,,khoitam,1,guː,guː,g uː,,Bodt2019,,
rahung-1-1,,rahung,1,guː,guː,g uː,,Bodt2019,,
rupa-1-1,,rupa,1,guː,guː,g uː,,Bodt2019,,
shergaon-1-1,,shergaon,1,guː,guː,g uː,,Bodt2019,,
khispi-2-1,,khispi,2,na-lu,na-lu,n a + l u,,Bodt2019,,
duhumbi-2-1,,duhumbi,2,na-ɹ,na-ɹ,n a + ɹ,,Bodt2019,,
rahung-2-1,,rahung,2,na-ryː,na-ryː,n a + r yː,,Bodt2019,,
rupa-2-1,,rupa,2,naː-bluŋ,naː-bluŋ,n aː + b l u ŋ,,Bodt2019,,
shergaon-2-1,,shergaon,2,naː-bluŋ,naː-bluŋ,n aː + b l u ŋ,,Bodt2019,,
khispi-3-1,,khispi,3,nal-tʰe,nal-tʰe,n a + l + tʰ e,,Bodt2019,,
duhumbi-3-1,,duhumbi,3,naɹ-tʰeˀ,naɹ-tʰeˀ,n a + ɹ + tʰ eˀ,,Bodt2019,,
khoina-3-1,,khoina,3,na-tʰik,na-tʰik,n a + tʰ i k,,Bodt2019,,
jerigaon-3-1,,jerigaon,3,na-tʰik,na-tʰik,n a + tʰ i k,,Bodt2019,,
khoitam-3-1,,khoitam,3,na-tʰɛk,na-tʰɛk,n a + tʰ ɛ k,,Bodt2019,,
rahung-3-1,,rahung,3,na-tʰɛk,na-tʰɛk,n a + tʰ ɛ k,,Bodt2019,,
rupa-3-1,,rupa,3,naː-tʰik,naː-tʰik,n aː + tʰ i k,,Bodt2019,,
shergaon-3-1,,shergaon,3,naː-tʰik,naː-tʰik,n aː + tʰ i k,,Bodt2019,,
khispi-4-1,,khispi,4,naŋ,naŋ,n a ŋ,,Bodt2019,,
duhumbi-4-1,,duhumbi,4,naŋ,naŋ,n a ŋ,,Bodt2019,,
khoina-4-1,,khoina,4,naŋ,naŋ,n a ŋ,,Bodt2019,,
jerigaon-4-1,,jerigaon,4,naŋ,naŋ,n a ŋ,,Bodt2019,,
khoitam-4-1,,khoitam,4,naŋ,naŋ,n a ŋ,,Bodt2019,,
rahung-4-1,,rahung,4,naŋ,naŋ,n a ŋ,,Bodt2019,,
rupa-4-1,,rupa,4,naŋ,naŋ,n a ŋ,,Bodt2019,,
shergaon-4-1,,shergaon,4,naŋ,naŋ,n a ŋ,,Bodt2019,,
khispi-5-1,,khispi,5,wuj,wuj,w ui,,Bodt2019,,
duhumbi-5-1,,duhumbi,5,wɔj,wɔj,w ɔi,,Bodt2019,,
khoina-5-1,,khoina,5,laŋ-waː,laŋ-waː,l a ŋ + w aː,,Bodt2019,,
jerigaon-5-1,,jerigaon,5,waː,waː,w aː,,Bodt2019,,
khoitam-5-1,,khoitam,5,waː-ʥi,waː-ʥi,w aː + dʑ i,,Bodt2019,,
