ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT	STRUCTURE	CROSSIDS
1	Khispi	1sg	1sg	ga	ga	g a		1	1	g a	i n	1
2	Duhumbi	1sg	1sg	ga	ga	g a		1	1	g a	i n	1
3	Khoina	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1
4	Jerigaon	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1
5	Khoitam	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1
6	Rahung	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1
7	Rupa	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1
8	Shergaon	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1
9	Khispi	2pl.excl	2pl.excl	na-lu	na+lu	n a + l u		3 2	3 2	n a + l u	i n + i n	3 2
10	Duhumbi	2pl.excl	2pl.excl	na-ɹ	na+ɹ	n a + ɹ		3 2	3 2	n a + ɹ -	i n + i	3 2
14	Rahung	2pl.excl	2pl.excl	na-ryː	na+ryː	n a + r yː		3 2	3 2	n a + r yː	i n + i n	3 2
15	Rupa	2pl.excl	2pl.excl	naː-bluŋ	naː+bluŋ	n aː + b l u ŋ		3 1285	3 2	n aː + b l u ŋ	i n + i m n c	3 1285
16	Shergaon	2pl.excl	2pl.excl	naː-bluŋ	naː+bluŋ	n aː + b l u ŋ		3 1285	3 2	n aː + b l u ŋ	i n + i m n c	3 1285
17	Khispi	2pl.incl	2pl.incl	nal-tʰe	nal+tʰe	n a l + tʰ e		5 4	5 4	n a l + tʰ e -	i n c + i n	5 4
18	Duhumbi	2pl.incl	2pl.incl	naɹ-tʰeˀ	naɹ+tʰeˀ	n a ɹ + tʰ eˀ		5 4	5 4	n a ɹ + tʰ eˀ -	i n c + i n	5 4
19	Khoina	2pl.incl	2pl.incl	na-tʰik	na+tʰik	n a + tʰ i k		5 4	5 4	n a - + tʰ i k	i n + i n c	5 4
20	Jerigaon	2pl.incl	2pl.incl	na-tʰik	na+tʰik	n a + tʰ i k		5 4	5 4	n a - + tʰ i k	i n + i n c	5 4
21	Khoitam	2pl.incl	2pl.incl	na-tʰɛk	na+tʰɛk	n a + tʰ ɛ k		5 4	5 4	n a - + tʰ ɛ k	i n + i n c	5 4
22	Rahung	2pl.incl	2pl.incl	na-tʰɛk	na+tʰɛk	n a + tʰ ɛ k		5 4	5 4	n a - + tʰ ɛ k	i n + i n c	5 4
23	Rupa	2pl.incl	2pl.incl	naː-tʰik	naː+tʰik	n aː + tʰ i k		5 4	5 4	n aː - + tʰ i k	i n + i n c	5 4
24	Shergaon	2pl.incl	2pl.incl	naː-tʰik	naː+tʰik	n aː + tʰ i k		5 4	5 4	n aː - + tʰ i k	i n + i n c	5 4
25	Khispi	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6
26	Duhumbi	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6
27	Khoina	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6
28	Jerigaon	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6
29	Khoitam	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6
30	Rahung	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6
31	Rupa	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6
32	Shergaon	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6
33	Khispi	3sg	3sg	wuj	wuj	w u j		7	7	w u j	i n c	7
34	Duhumbi	3sg	3sg	wɔj	wɔj	w ɔ j		7	7	w ɔ j	i n c	7
35	Khoina	3sg	3sg	laŋ-waː	laŋ+waː	l a ŋ + w aː		10 7	10 7	l a ŋ + w aː -	i n c + i n	10 7
36	Jerigaon	3sg	3sg	waː	waː	w aː		7	7	w aː -	i n	7
37	Khoitam	3sg	3sg	waː-ʥi	waː+ʥi	w aː + dʑ i		7 9	7 9	w aː - + dʑ i	i n + i n	7 9
38	Rahung	3sg	3sg	hɛˀ ~ ɛˀ	hɛˀ	h ɛˀ		8	8	h ɛˀ	i n	8
39	Rupa	3sg	3sg	waː	waː	w aː		7	7	w aː -	i n	7
40	Shergaon	3sg	3sg	waː	waː	w aː		7	7	w aː -	i n	7
603	Khoina	Bugun	Bugun	ʂə-luŋ	ʂə+luŋ	ʂ ə + l u ŋ		11 12	11 12	ʂ ə + l u ŋ	i n + i n c	11 12
606	Rahung	Bugun	Bugun	su-luŋ	su+luŋ	s u + l u ŋ		11 12	11 12	s u + l u ŋ	i n + i n c	11 12
607	Rupa	Bugun	Bugun	sə-luŋ	sə+luŋ	s ə + l u ŋ		11 12	11 12	s ə + l u ŋ	i n + i n c	11 12
608	Shergaon	Bugun	Bugun	su-luŋ	su+luŋ	s u + l u ŋ		11 12	11 12	s u + l u ŋ	i n + i n c	11 12
2041	Khispi	Indo-Aryan person	Indo-Aryan person	bi-ʨʰa	bi+ʨʰa	b i + tɕʰ a		15 13	15 13	b i + tɕʰ a	i n + i n	15 13
2042	Duhumbi	Indo-Aryan person	Indo-Aryan person	bi-ʨʰa	bi+ʨʰa	b i + tɕʰ a		15 13	15 13	b i + tɕʰ a	i n + i n	15 13
2043	Khoina	Indo-Aryan person	Indo-Aryan person	də-ʨʰuː	də+ʨʰuː	d ə + tɕʰ uː		16 13	14 13	d ə + tɕʰ uː	i n + i n	16 13
2045	Khoitam	Indo-Aryan person	Indo-Aryan person	ʨʰə-ʨʰuː	ʨʰə+ʨʰuː	tɕʰ ə + tɕʰ uː		14 13	14 13	tɕʰ ə + tɕʰ uː	i n + i n	14 13
2046	Rahung	Indo-Aryan person	Indo-Aryan person	ʨʰə-ʨʰuː	ʨʰə+ʨʰuː	tɕʰ ə + tɕʰ uː		14 13	14 13	tɕʰ ə + tɕʰ uː	i n + i n	14 13
2047	Rupa	Indo-Aryan person	Indo-Aryan person	nə-ʨʰuː ~ də-ʨʰuː	nə+ʨʰuː	n ə + tɕʰ uː		16 13	16 13	n ə + tɕʰ uː	i n + i n	16 13
2048	Shergaon	Indo-Aryan person	Indo-Aryan person	də-ʨʰuː	də+ʨʰuː	d ə + tɕʰ uː		16 13	14 13	d ə + tɕʰ uː	i n + i n	16 13
2091	Khoina	Jerigaon people	Jerigaon people	də-ʨĩː-ʥi	də+ʨĩː+ʥi	d ə + tɕ ĩː + dʑ i		19 17 18	19 17 18	d ə + tɕ ĩː + dʑ i	i n + i n + i n	19 17 18
2092	Jerigaon	Jerigaon people	Jerigaon people	kʰ-ʨĩː-ʥi	kʰ+ʨĩː+ʥi	kʰ + tɕ ĩː + dʑ i		20 17 18	20 17 18	kʰ + tɕ ĩː + dʑ i	i + i n + i n	20 17 18
2095	Rupa	Jerigaon people	Jerigaon people	di-ʨʰi-ʥi	di+ʨʰi+ʥi	d i + tɕʰ i + dʑ i		19 17 18	19 17 18	d i + tɕʰ i + dʑ i	i n + i n + i n	19 17 18
2113	Khispi	Khoitam people	Khoitam people	kʰus-tam-bi	kʰus+tam+bi	kʰ u s + t a m + b i		21 23 22	21 23 22	kʰ u s + t a m + b i	i n c + i n c + i n	21 23 18
2115	Khoina	Khoitam people	Khoitam people	gə-tam-ʥi	gə+tam+ʥi	g ə + t a m + dʑ i		21 23 22	21 23 22	g ə - + t a m + dʑ i	i n + i n c + i n	21 23 18
2116	Jerigaon	Khoitam people	Khoitam people	kʰ-tam-ʥi	kʰ+tam+ʥi	kʰ + t a m + dʑ i		21 23 22	21 23 22	kʰ - - + t a m + dʑ i	i + i n c + i n	21 23 18
2119	Rupa	Khoitam people	Khoitam people	gə-tam-ʥi	gə+tam+ʥi	g ə + t a m + dʑ i		21 23 22	21 23 22	g ə - + t a m + dʑ i	i n + i n c + i n	21 23 18
2120	Shergaon	Khoitam people	Khoitam people	ka-tam-ʥi	ka+tam+ʥi	k a + t a m + dʑ i		21 23 22	21 23 22	k a - + t a m + dʑ i	i n + i n c + i n	21 23 18
2499	Khoina	Miji people	Miji people	kʰu-nɔ̃ː	kʰu+nɔ̃ː	kʰ u + n ɔ̃ː		25 24	25 24	kʰ u + n ɔ̃ː	i n + i n	25 24
2500	Jerigaon	Miji people	Miji people	kʰu-nɔ̃ː-ʥi	kʰu+nɔ̃ː+ʥi	kʰ u + n ɔ̃ː + dʑ i		25 24 26	25 24 26	kʰ u + n ɔ̃ː + dʑ i	i n + i n + i n	25 24 26
2502	Rahung	Miji people	Miji people	kʰu-nũː(ŋ)	kʰu+nũː	kʰ u + n ũː		25 24	25 24	kʰ u + n ũː	i n + i n	25 24
2503	Rupa	Miji people	Miji people	kʰu-nũː	kʰu+nũː	kʰ u + n ũː		25 24	25 24	kʰ u + n ũː	i n + i n	25 24
2504	Shergaon	Miji people	Miji people	kʰu-nɔ̃ː	kʰu+nɔ̃ː	kʰ u + n ɔ̃ː		25 24	25 24	kʰ u + n ɔ̃ː	i n + i n	25 24
2537	Khispi	Monpa	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a		30 28	30 28	m ɔ n + p a	i n c + i n	30 28
2538	Duhumbi	Monpa	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a		30 28	30 28	m ɔ n + p a	i n c + i n	30 28
2539	Khoina	Monpa	Monpa	ʥə-mɐ̃ː	ʥə+mɐ̃ː	dʑ ə + m ɐ̃ː		29 30	29 27	dʑ ə + m ɐ̃ː -	i n + i n	29 30
2542	Rahung	Monpa	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a		30 28	30 28	m ɔ n + p a	i n c + i n	30 28
2543	Rupa	Monpa	Monpa	ʥə-mɔ̃ː	ʥə+mɔ̃ː	dʑ ə + m ɔ̃ː		29 30	29 27	dʑ ə + m ɔ̃ː -	i n + i n	29 30
2544	Shergaon	Monpa	Monpa	ʥɔ-mɔ̃ː	ʥɔ+mɔ̃ː	dʑ ɔ + m ɔ̃ː		29 30	29 27	dʑ ɔ + m ɔ̃ː -	i n + i n	29 30
2657	Khispi	Namshu people	Namshu people	nam-ɕu-pa	nam+ɕu+pa	n a m + ɕ u + p a		33 31 32	33 31 32	n a m + ɕ u + p a	i n c + i n + i n	33 31 32
2658	Duhumbi	Namshu people	Namshu people	nam-ɕu-pa	nam+ɕu+pa	n a m + ɕ u + p a		33 31 32	33 31 32	n a m + ɕ u + p a	i n c + i n + i n	33 31 32
2659	Khoina	Namshu people	Namshu people	na-ʦʰɔː-ʥi	na+ʦʰɔː+ʥi	n a + tsʰ ɔː + dʑ i		33 31 32	33 31 32	n a - + tsʰ ɔː + dʑ i	i n + i n + i n	33 31 32
2660	Jerigaon	Namshu people	Namshu people	nə-ʨo-ʥi	nə+ʨo+ʥi	n ə + tɕ o + dʑ i		33 31 32	33 31 32	n ə - + tɕ o + dʑ i	i n + i n + i n	33 31 32
2662	Rahung	Namshu people	Namshu people	pʰ-ʨʰoː-ʥi	pʰ+ʨʰoː+ʥi	pʰ + tɕʰ oː + dʑ i		33 31 32	34 31 32	pʰ - - + tɕʰ oː + dʑ i	i + i n + i n	33 31 32
3073	Khispi	Puroik	Puroik	bi-ɕ-taŋ	bi+ɕ+taŋ	b i + ɕ + t a ŋ		37 38 35	37 38 35	b i + ɕ + t a ŋ	i n + i + i n c	15 38 35
3074	Duhumbi	Puroik	Puroik	bi-s-taŋ	bi+s+taŋ	b i + s + t a ŋ		37 38 35	37 38 35	b i + s + t a ŋ	i n + i + i n c	15 38 35
3075	Khoina	Puroik	Puroik	ɕ-taŋ	ɕ+taŋ	ɕ + t a ŋ		38 35	36 35	ɕ + t a ŋ	i + i n c	38 35
3079	Rupa	Puroik	Puroik	s-taŋ	s+taŋ	s + t a ŋ		38 35	36 35	s + t a ŋ	i + i n c	38 35
3137	Khispi	Rahung, people of	Rahung, people of	la-pʰuŋ-bi	la+pʰuŋ+bi	l a + pʰ u ŋ + b i		41 40 39	42 40 39	l a + pʰ u ŋ + b i	i n + i n c + i n	41 40 18
3139	Khoina	Rahung, people of	Rahung, people of	rə-pʰiŋ-ʥi	rə+pʰiŋ+ʥi	r ə + pʰ i ŋ + dʑ i		41 40 39	41 40 39	r ə + pʰ i ŋ + dʑ i	i n + i n c + i n	41 40 18
3140	Jerigaon	Rahung, people of	Rahung, people of	rə-pʰiŋ-ʥi	rə+pʰiŋ+ʥi	r ə + pʰ i ŋ + dʑ i		41 40 39	41 40 39	r ə + pʰ i ŋ + dʑ i	i n + i n c + i n	41 40 18
3143	Rupa	Rahung, people of	Rahung, people of	rə-pʰyŋ-ʥi	rə+pʰyŋ+ʥi	r ə + pʰ y ŋ + dʑ i		41 40 39	41 40 39	r ə + pʰ y ŋ + dʑ i	i n + i n c + i n	41 40 18
3144	Shergaon	Rahung, people of	Rahung, people of	ru-pʰuŋ-ʥi	ru+pʰuŋ+ʥi	r u + pʰ u ŋ + dʑ i		41 40 39	41 40 39	r u + pʰ u ŋ + dʑ i	i n + i n c + i n	41 40 18
3491	Khoina	Sherdukpen	Sherdukpen	tʰɔː-mø-ʥi	tʰɔː+mø+ʥi	tʰ ɔː + m ø + dʑ i		44 43 45	44 43 45	tʰ ɔː - + m ø + dʑ i	i n + i n + i n	44 43 18
3492	Jerigaon	Sherdukpen	Sherdukpen	tʰɔ̃ŋ-ʥi  ~ tʰuwã-ʥi	tʰɔ̃ŋ+ʥi	tʰ ɔ̃ ŋ + dʑ i		44 45	44 46	tʰ ɔ̃ ŋ + dʑ i	i n c + i n	44 18
3494	Rahung	Sherdukpen	Sherdukpen	tʰə-mø-ʥi	tʰə+mø+ʥi	tʰ ə + m ø + dʑ i		44 43 45	44 43 45	tʰ ə - + m ø + dʑ i	i n + i n + i n	44 43 18
3495	Rupa	Sherdukpen	Sherdukpen	møˀ	møˀ	m øˀ		43	43	m øˀ	i n	43
3496	Shergaon	Sherdukpen	Sherdukpen	meˀ	meˀ	m eˀ		43	43	m eˀ	i n	43
3497	Khispi	Shergaon, people of	Shergaon, people of	ɕɛl-pi	ɕɛl+pi	ɕ ɛ l + p i		47 48	47 49	ɕ ɛ l + p i	i n c + i n	47 48
